"ID","Description","Index","SubIndex","Name","SubName"
"3492c01","Crane Bucket - Complete Assembly (Top, Jaws, Spring)",10,1,"Building","Crane"
"3492","Crane Bucket Top",10,1,"Building","Crane"
"59807","Crane Harbor Derrick 16 with Double Attachment",10,1,"Building","Crane"
"51858","Crane / Bucket Lift Basket 2 x 3 x 2 with Locking Hinge Fingers",10,1,"Building","Crane"
"3493","Crane Bucket Jaw",10,1,"Building","Crane"
"2636","Crane Harbor Derrick 16",10,1,"Building","Crane"
"2638","Crane Harbor Derrick 10 (Top Part)",10,1,"Building","Crane"
"91347","Crane Jaw Curved",10,1,"Building","Crane"
"2424","Crane Basket 2 x 3 x 2 with Non-Locking Hinge Fingers",10,1,"Building","Crane"
"2350a","Crane Arm Outside, Old Narrow",10,1,"Building","Crane"
"52041","Crane Section 4 x 12 x 3 with 8 Pin Holes",10,1,"Building","Crane"
"2351","Crane Arm Center",10,1,"Building","Crane"
"57779","Crane Arm Outside, New Wide with Pin Hole at Mid-Point",10,1,"Building","Crane"
"2350c","Crane Arm Outside, New Wide with End Notch, 2 Fixed Rotatable Friction Pins",10,1,"Building","Crane"
"2045c01","Fabuland Swing Base with Red Seat (Complete Assembly)",10,2,"Building","Fabuland"
"x637c01","Fabuland Building Wall 2 x 6 x 7 with Squared Blue Window",10,2,"Building","Fabuland"
"fabad5c01","Fabuland Utensil Hand Truck",10,2,"Building","Fabuland"
"x120a","Fabuland Utensil Shovel with raised 'Fabuland'",10,2,"Building","Fabuland"
"4823c01","Fabuland Building Wall 2 x 10 x 7 with Blue Bay Window",10,2,"Building","Fabuland"
"fabca2","Fabuland Table",10,2,"Building","Fabuland"
"fabea7","Fabuland Utensil Rake",10,2,"Building","Fabuland"
"4874c01","Fabuland Merry-Go-Round Type 1 (Complete Assembly)",10,2,"Building","Fabuland"
"fabeb4","Fabuland Utensil Ladder",10,2,"Building","Fabuland"
"2042","Fabuland Cupboard 2 x 6 x 7",10,2,"Building","Fabuland"
"fabek4","Fabuland Utensil Paint Brush",10,2,"Building","Fabuland"
"4608","Fabuland Window 2 x 4 x 5 with Square Top",10,2,"Building","Fabuland"
